u,v,osmid,lanes,name,maxspeed,length,geometry,highway
16149602,1650878266,152264384,1,Trg Osvobodilne fronte,50,20.628,"LINESTRING (14.5085019 46.0576017, 14.5085052 46.0577872)",primary
16149602,11059759322,"[532159101, 680210215, 1054278600, 977596339, 925940923, 152264381, 532159102]",2.5,Trg Osvobodilne fronte,50,274.478,"LINESTRING (14.5085019 46.0576017, 14.5086081 46.0576037, 14.5087781 46.0576069, 14.5091335 46.0576109, 14.5098009 46.0576168, 14.5101645 46.0576221, 14.5105233 46.0576272, 14.5112617 46.0576325, 14.5117633 46.0576346, 14.5118423 46.0576348, 14.5120586 46.0576381)",primary
16149637,8569299058,"[999281249, 925940930, 999281250, 150429451, 150155119, 1020119217, 866086869, 866086870, 487172956, 6993181]",3.6666666666666665,Šmartinska cesta,50,210.88700000000003,"LINESTRING (14.5207589 46.0579313, 14.5207706 46.0579719, 14.5207769 46.0580169, 14.5207898 46.0581477, 14.5207913 46.0582002, 14.5207913 46.0582846, 14.5207885 46.0583683, 14.5207877 46.0584284, 14.5207739 46.0588872, 14.5207715 46.0589352, 14.5207742 46.0590165, 14.5207708 46.0591499, 14.5207643 46.0592958, 14.5207516 46.0596095, 14.5207494 46.0596587, 14.520749 46.0598261)",primary
16149637,178880698,"[925940929, 177970070]",2,Šmartinska cesta,50,101.791,"LINESTRING (14.5207589 46.0579313, 14.5207418 46.0578937, 14.5207197 46.0578569, 14.5205812 46.0576883, 14.5204156 46.0574891, 14.5202907 46.0573362, 14.5201803 46.057207, 14.5201538 46.0571822, 14.5201313 46.0571646, 14.5201085 46.0571507, 14.5200961 46.0571444)",primary
16149637,3647660838,"[980369314, 925940932, 6143656, 931604841, 17262515, 929250552]",2,"['Bolgarska ulica', 'Grablovičeva ulica']",50,522.7189999999999,"LINESTRING (14.5207589 46.0579313, 14.5208438 46.0579046, 14.5208918 46.0578873, 14.5211634 46.0577684, 14.5212433 46.0577334, 14.5213989 46.0576651, 14.521429 46.0577029, 14.5215982 46.0579134, 14.5216404 46.0579631, 14.5216906 46.0580224, 14.5217277 46.0580585, 14.5217605 46.0580875, 14.5217936 46.0581105, 14.5218292 46.0581311, 14.5218632 46.0581456, 14.5219181 46.0581662, 14.5219811 46.0581862, 14.5220265 46.0581967, 14.5220954 46.058207, 14.5221541 46.0582139, 14.5222741 46.0582203, 14.5224498 46.0582259, 14.522762 46.0582357, 14.5233234 46.0582535, 14.5237278 46.0582625, 14.5238378 46.0582649, 14.5239434 46.0582634, 14.5240339 46.0582589, 14.5242041 46.0582383, 14.5243198 46.058221, 14.5244231 46.0582041, 14.5246258 46.0581714, 14.5246885 46.0581613, 14.5249274 46.0581195, 14.5250498 46.0580979, 14.5251876 46.0580706, 14.5253873 46.0580245, 14.5255453 46.057981, 14.5256872 46.0579363, 14.5257859 46.0579011, 14.5258885 46.0578646, 14.5259707 46.0578305, 14.5261543 46.0577543, 14.5262461 46.0577162, 14.5262977 46.0576942, 14.5263255 46.0576824, 14.5263483 46.0576727, 14.5264009 46.0576503, 14.5265292 46.0575966, 14.5267318 46.0575136, 14.5267841 46.05749)",tertiary
16174171,16325261,64026102,4,nan,50,148.35000000000002,"LINESTRING (14.530339 46.0802537, 14.5299335 46.0804283, 14.5298248 46.0804783, 14.5297206 46.0805272, 14.5296147 46.0805802, 14.5295159 46.0806358, 14.5294221 46.0806923, 14.5293477 46.0807405, 14.5292493 46.0808104, 14.5291777 46.0808685, 14.5291085 46.080924, 14.5290106 46.0810069, 14.528952 46.0810621, 14.5289019 46.0811188)",primary_link
16174178,60735132,4594907,1,nan,50,100.33200000000001,"LINESTRING (14.5478075 46.0731092, 14.5480673 46.0728532, 14.5481967 46.07275, 14.5485955 46.072392)",trunk_link
16174178,1207441440,64017093,2,Severna obvoznica,110,683.6910000000001,"LINESTRING (14.5478075 46.0731092, 14.5481601 46.0728836, 14.5486768 46.0725201, 14.5491444 46.0721638, 14.550195 46.0713004, 14.5505895 46.0709757, 14.5508997 46.0707354, 14.5512728 46.0704641, 14.5515438 46.0702774, 14.5519058 46.0700417, 14.5522937 46.069807, 14.5526508 46.0696042, 14.5528362 46.0695024, 14.5531374 46.0693441, 14.5535766 46.0691284, 14.5538951 46.0689817, 14.554163 46.0688642)",trunk
16174181,60735584,1209694291,2,nan,50,34.019,"LINESTRING (14.5528195 46.0692033, 14.5531811 46.0690282)",trunk_link
16174181,60735583,4594908,2,Bratislavska cesta,50,37.878,"LINESTRING (14.5528195 46.0692033, 14.5527586 46.0691469, 14.5525272 46.0689296)",tertiary
16174181,16174184,"[6628052, 39728046, 39728047]",2,Bratislavska cesta,50,60.68300000000001,"LINESTRING (14.5528195 46.0692033, 14.5529352 46.06931, 14.5529636 46.0693362, 14.5531745 46.0695323, 14.5531774 46.069535, 14.5532903 46.0696405)",tertiary
16174183,60735549,8106002,1,nan,50,41.54899999999999,"LINESTRING (14.5519806 46.070429, 14.5519241 46.0705091, 14.5519012 46.0705762, 14.5518985 46.0706069, 14.5519044 46.0706418, 14.5519121 46.070658, 14.5519227 46.0706748, 14.5519447 46.070697, 14.5519713 46.070715, 14.5520055 46.0707338, 14.5520431 46.070751)",secondary_link
16174183,16817247,149741612,3,nan,50,36.669,"LINESTRING (14.5519806 46.070429, 14.5518237 46.0705371, 14.551725 46.0706125, 14.5516501 46.0706659)",primary_link
16174184,16174181,"[6628052, 39728046, 39728047]",2,Bratislavska cesta,50,60.68300000000001,"LINESTRING (14.5532903 46.0696405, 14.5531774 46.069535, 14.5531745 46.0695323, 14.5529636 46.0693362, 14.5529352 46.06931, 14.5528195 46.0692033)",tertiary
16174184,16174183,"[915572796, 975801327]",2.5,nan,50,133.856,"LINESTRING (14.5532903 46.0696405, 14.5529206 46.0698453, 14.5525694 46.0700486, 14.5522731 46.070235, 14.5519806 46.070429)",primary_link
16174193,10705326775,173046944,1,Bratislavska cesta,50,30.463,"LINESTRING (14.5504963 46.0644019, 14.5504649 46.0642625, 14.5504528 46.0641299)",tertiary
16174193,774117077,1150806093,1,Bratislavska cesta,50,15.623,"LINESTRING (14.5504963 46.0644019, 14.5505342 46.0643786, 14.550579 46.0643622, 14.5506281 46.0643537, 14.5506787 46.0643536)",tertiary
16174197,5314589269,"[878432902, 999598502, 999598503, 925890697, 925890696, 4865931, 999598504, 551319228]",2.5,Savska cesta,50,496.36699999999996,"LINESTRING (14.5241007 46.0619576, 14.5242027 46.062106, 14.5243141 46.0622641, 14.5244475 46.062462, 14.5246604 46.0627698, 14.5246954 46.06282, 14.5247593 46.0629098, 14.5248064 46.0629828, 14.524847 46.0630561, 14.5248511 46.063063, 14.5249341 46.0632151, 14.5250107 46.0633542, 14.5251732 46.063662, 14.5252646 46.0638447, 14.5253548 46.0640389, 14.5253953 46.0641262, 14.5257037 46.0648313, 14.5257321 46.0648974, 14.5257737 46.0649911, 14.5258083 46.0650677, 14.5261299 46.0657949, 14.5262829 46.0661477)",tertiary
